_step,batched_nfg_sarah/test/accuracy,batched_nfg_sarah/val/accuracy
1,0.3018,0.2972
2,0.401,0.3979
3,0.4622,0.4688
4,0.4567,0.4602
5,0.552,0.5612
6,0.5309,0.537
7,0.5833,0.5883
8,0.5932,0.597
9,0.6205,0.6283
10,0.5904,0.5988
11,0.6213,0.6285
12,0.6219,0.6253
13,0.6352,0.6426
14,0.6287,0.6415
15,0.6298,0.6381
16,0.6418,0.6543
17,0.6575,0.6643
18,0.666,0.6696
19,0.6822,0.6897
20,0.6905,0.6901
21,0.7017,0.7097
22,0.6969,0.6978
23,0.7187,0.7185
24,0.7295,0.7333
25,0.731,0.7399
26,0.734,0.7402
27,0.7453,0.7523
28,0.7544,0.7602
29,0.7581,0.7648
30,0.7686,0.7714
31,0.7748,0.779
32,0.7734,0.781
33,0.7732,0.7809
34,0.7814,0.7945
35,0.7841,0.7924
36,0.7853,0.793
37,0.7883,0.7927
38,0.7797,0.7903
39,0.7858,0.7946
40,0.7878,0.7949
41,0.7892,0.7926
42,0.7888,0.7931
43,0.7848,0.7976
44,0.7923,0.7972
45,0.7874,0.7988
46,0.7916,0.8036
47,0.7937,0.8094
48,0.7967,0.8029
49,0.7947,0.8013
50,0.791,0.7956
